1 47,8417
512861,384 9,43687
524807,4602 9,22906
537031,7964 9,0209
549540,8739 8,81237
562341,3252 8,60345
575439,9373 8,39413
588843,6554 8,18439
602559,5861 7,97421
616595,0019 7,76358
630957,3445 7,55247
645654,229 7,34086
660693,448 7,12874
676082,9754 6,91609
691830,9709 6,70287
707945,7844 6,48908
724435,9601 6,27468
741310,2413 6,05965
758577,575 5,84396
776247,1166 5,6276
794328,2347 5,41053
812830,5162 5,19273
831763,7711 4,97417
851138,0382 4,75481
870963,59 4,53464
891250,9381 4,31361
912010,8394 4,0917
933254,3008 3,86888
954992,586 3,6451
977237,221 3,42035
1000000 3,19458
1023292,992 2,96776
1047128,548 2,73985
1071519,305 2,51081
1096478,196 2,28062
1122018,454 2,04922
1148153,621 1,81659
1174897,555 1,58268
1202264,435 1,34745
1230268,771 1,11087
1258925,412 0,872898
1288249,552 0,633486
1318256,739 0,392598
1348962,883 0,150193
1380384,265 -0,0937693
1412537,545 -0,33933
1445439,771 -0,586528
1479108,388 -0,835406
1513561,248 -1,086
1548816,619 -1,33835
1584893,192 -1,5925
1621810,097 -1,84849
1659586,907 -2,10634
1698243,652 -2,3661
1737800,829 -2,62781
1778279,41 -2,89149
1819700,859 -3,15719
1862087,137 -3,42492
1905460,718 -3,69473
1949844,6 -3,96664
1995262,315 -4,24067
2041737,945 -4,51686
2089296,131 -4,79522
2137962,09 -5,07578
2187761,624 -5,35856
2238721,139 -5,64357
2290867,653 -5,93083
2344228,815 -6,22034
2398832,919 -6,51213
2454708,916 -6,80619
2511886,432 -7,10254
2570395,783 -7,40117
2630267,992 -7,70209
2691534,804 -8,00529
2754228,703 -8,31077
2818382,931 -8,61852
2884031,503 -8,92854
2951209,227 -9,24081
3019951,72 -9,55531
3090295,433 -9,87203
3162277,66 -10,191
3235936,569 -10,5121
3311311,215 -10,8353
3388441,561 -11,1607
3467368,505 -11,4882
3548133,892 -11,8178
3630780,548 -12,1494
3715352,291 -12,4831
3801893,963 -12,8187
3890451,45 -13,1562
3981071,706 -13,4957
4073802,778 -13,837
4168693,835 -14,1802
4265795,188 -14,5252
4365158,322 -14,8719
4466835,922 -15,2203
4570881,896 -15,5704
4677351,413 -15,9221
4786300,923 -16,2755
4897788,194 -16,6303
5011872,336 -16,9867
5128613,84 -17,3445
5248074,602 -17,7037
5370317,964 -18,0643
5495408,739 -18,4262
5623413,252 -18,7893
5754399,373 -19,1538
5888436,554 -19,5194
6025595,861 -19,8861
6165950,019 -20,254
6309573,445 -20,6229
6456542,29 -20,9929
6606934,48 -21,3638
6760829,754 -21,7357
6918309,709 -22,1085
7079457,844 -22,4822
7244359,601 -22,8566
7413102,413 -23,2319
7585775,75 -23,6079
7762471,166 -23,9846
7943282,347 -24,362
8128305,162 -24,74
8317637,711 -25,1186
8511380,382 -25,4978
8709635,9 -25,8775
8912509,381 -26,2577
9120108,394 -26,6383
9332543,008 -27,0194
9549925,86 -27,4009
9772372,21 -27,7827
10000000 -28,1648
10232929,92 -28,5473
10471285,48 -28,93
10715193,05 -29,3129
10964781,96 -29,696
11220184,54 -30,0793
11481536,21 -30,4627
11748975,55 -30,8462
12022644,35 -31,2298
12302687,71 -31,6134
12589254,12 -31,9971
12882495,52 -32,3807
13182567,39 -32,7642
13489628,83 -33,1477
13803842,65 -33,531
14125375,45 -33,9142
14454397,71 -34,2972
14791083,88 -34,68
15135612,48 -35,0625
15488166,19 -35,4447
15848931,92 -35,8266
16218100,97 -36,2082
16595869,07 -36,5894
16982436,52 -36,9701
17378008,29 -37,3504
17782794,1 -37,7302
18197008,59 -38,1094
18620871,37 -38,488
19054607,18 -38,8661
19498446 -39,2434
19952623,15 -39,6201
20417379,45 -39,996
20892961,31 -40,3712
21379620,9 -40,7455
21877616,24 -41,1189
22387211,39 -41,4914
22908676,53 -41,8629
23442288,15 -42,2334
23988329,19 -42,6028
24547089,16 -42,9711
25118864,32 -43,3382
25703957,83 -43,704
26302679,92 -44,0686
26915348,04 -44,4318
27542287,03 -44,7935
28183829,31 -45,1539
28840315,03 -45,5126
29512092,27 -45,8698
30199517,2 -46,2253
30902954,33 -46,5791
31622776,6 -46,931
32359365,69 -47,2811
33113112,15 -47,6292
33884415,61 -47,9754
34673685,05 -48,3194
