1 85,3519
50118723,36 -55,9766
51286138,4 -56,3761
52480746,02 -56,7756
53703179,64 -57,1751
54954087,39 -57,5747
56234132,52 -57,9742
57543993,73 -58,3738
58884365,54 -58,7734
60255958,61 -59,1731
61659500,19 -59,5727
63095734,45 -59,9724
64565422,9 -60,372
66069344,8 -60,7717
67608297,54 -61,1714
69183097,09 -61,5711
70794578,44 -61,9709
72443596,01 -62,3706
74131024,13 -62,7704
75857757,5 -63,1701
77624711,66 -63,5699
79432823,47 -63,9697
81283051,62 -64,3695
83176377,11 -64,7693
85113803,82 -65,1691
87096359 -65,5689
89125093,81 -65,9688
91201083,94 -66,3686
93325430,08 -66,7684
95499258,6 -67,1683
97723722,1 -67,5682
100000000 -67,968
