1 87,3159
1230,268771 65,0119
1258,925412 64,8131
1288,249552 64,6142
1318,256739 64,4152
1348,962883 64,2162
1380,384265 64,0172
1412,537545 63,8181
1445,439771 63,619
1479,108388 63,4198
1513,561248 63,2206
1548,816619 63,0214
1584,893192 62,8221
1621,810097 62,6228
1659,586907 62,4235
1698,243652 62,2241
1737,800829 62,0247
1778,27941 61,8253
1819,700859 61,6258
1862,087137 61,4263
1905,460718 61,2268
1949,8446 61,0273
1995,262315 60,8278
2041,737945 60,6282
2089,296131 60,4286
2137,96209 60,229
2187,761624 60,0294
2238,721139 59,8298
2290,867653 59,6301
2344,228815 59,4305
2398,832919 59,2308
2454,708916 59,0311
2511,886432 58,8314
2570,395783 58,6317
2630,267992 58,4319
2691,534804 58,2322
2754,228703 58,0324
2818,382931 57,8327
2884,031503 57,6329
2951,209227 57,4331
3019,95172 57,2333
3090,295433 57,0335
3162,27766 56,8337
3235,936569 56,6338
3311,311215 56,434
3388,441561 56,2342
3467,368505 56,0343
3548,133892 55,8345
3630,780548 55,6346
3715,352291 55,4347
3801,893963 55,2348
3890,45145 55,035
3981,071706 54,8351
4073,802778 54,6352
4168,693835 54,4353
4265,795188 54,2354
4365,158322 54,0355
4466,835922 53,8356
4570,881896 53,6357
4677,351413 53,4358
4786,300923 53,2358
4897,788194 53,0359
5011,872336 52,836
5128,61384 52,636
5248,074602 52,4361
5370,317964 52,2362
5495,408739 52,0362
5623,413252 51,8363
5754,399373 51,6363
5888,436554 51,4364
6025,595861 51,2364
6165,950019 51,0365
6309,573445 50,8365
6456,54229 50,6366
6606,93448 50,4366
6760,829754 50,2367
6918,309709 50,0367
7079,457844 49,8367
7244,359601 49,6368
7413,102413 49,4368
7585,77575 49,2368
7762,471166 49,0368
7943,282347 48,8369
8128,305162 48,6369
8317,637711 48,4369
8511,380382 48,2369
8709,6359 48,037
8912,509381 47,837
9120,108394 47,637
9332,543008 47,437
9549,92586 47,237
9772,37221 47,037
10000 46,837
10232,92992 46,6371
10471,28548 46,4371
10715,19305 46,2371
10964,78196 46,0371
11220,18454 45,8371
11481,53621 45,6371
11748,97555 45,4371
12022,64435 45,2371
12302,68771 45,0371
12589,25412 44,8371
12882,49552 44,6371
13182,56739 44,4371
13489,62883 44,2371
13803,84265 44,0371
14125,37545 43,8371
14454,39771 43,6371
14791,08388 43,4371
15135,61248 43,2371
15488,16619 43,0371
15848,93192 42,8371
16218,10097 42,6371
16595,86907 42,4371
16982,43652 42,2371
17378,00829 42,0371
17782,7941 41,8371
18197,00859 41,6371
18620,87137 41,437
19054,60718 41,237
19498,446 41,037
19952,62315 40,837
20417,37945 40,637
20892,96131 40,437
21379,6209 40,2369
21877,61624 40,0369
22387,21139 39,8369
22908,67653 39,6369
23442,28815 39,4369
23988,32919 39,2368
24547,08916 39,0368
25118,86432 38,8368
25703,95783 38,6367
26302,67992 38,4367
26915,34804 38,2367
27542,28703 38,0366
28183,82931 37,8366
28840,31503 37,6366
29512,09227 37,4365
30199,5172 37,2365
30902,95433 37,0364
31622,7766 36,8364
32359,36569 36,6363
33113,11215 36,4363
33884,41561 36,2362
34673,68505 36,0361
35481,33892 35,8361
36307,80548 35,636
37153,52291 35,4359
38018,93963 35,2359
38904,5145 35,0358
39810,71706 34,8357
40738,02778 34,6356
41686,93835 34,4355
42657,95188 34,2354
43651,58322 34,0353
44668,35922 33,8352
45708,81896 33,6351
46773,51413 33,435
47863,00923 33,2349
48977,88194 33,0348
50118,72336 32,8347
51286,1384 32,6345
52480,74602 32,4344
53703,17964 32,2342
54954,08739 32,0341
56234,13252 31,8339
57543,99373 31,6337
58884,36554 31,4336
60255,95861 31,2334
61659,50019 31,0332
63095,73445 30,833
64565,4229 30,6328
66069,3448 30,4325
67608,29754 30,2323
69183,09709 30,032
70794,57844 29,8318
72443,59601 29,6315
74131,02413 29,4312
75857,7575 29,2309
77624,71166 29,0306
79432,82347 28,8303
81283,05162 28,63
83176,37711 28,4296
85113,80382 28,2292
87096,359 28,0288
89125,09381 27,8284
91201,08394 27,628
93325,43008 27,4276
95499,2586 27,2271
97723,7221 27,0266
100000 26,8261
102329,2992 26,6255
104712,8548 26,425
107151,9305 26,2244
109647,8196 26,0238
112201,8454 25,8231
114815,3621 25,6224
117489,7555 25,4217
120226,4435 25,221
123026,8771 25,0202
125892,5412 24,8194
128824,9552 24,6185
131825,6739 24,4176
134896,2883 24,2167
138038,4265 24,0157
141253,7545 23,8147
144543,9771 23,6136
147910,8388 23,4125
151356,1248 23,2113
154881,6619 23,0101
158489,3192 22,8088
162181,0097 22,6074
165958,6907 22,406
169824,3652 22,2045
173780,0829 22,003
177827,941 21,8014
181970,0859 21,5997
186208,7137 21,3979
190546,0718 21,196
194984,46 20,9941
199526,2315 20,792
204173,7945 20,5899
208929,6131 20,3877
213796,209 20,1853
218776,1624 19,9829
223872,1139 19,7803
229086,7653 19,5777
234422,8815 19,3749
239883,2919 19,1719
245470,8916 18,9689
251188,6432 18,7656
257039,5783 18,5623
263026,7992 18,3588
269153,4804 18,1551
275422,8703 17,9512
281838,2931 17,7472
288403,1503 17,543
295120,9227 17,3386
301995,172 17,134
309029,5433 16,9292
316227,766 16,7241
323593,6569 16,5189
331131,1215 16,3133
338844,1561 16,1076
346736,8505 15,9015
354813,3892 15,6952
363078,0548 15,4886
371535,2291 15,2818
380189,3963 15,0745
389045,145 14,867
398107,1706 14,6591
407380,2778 14,4509
416869,3835 14,2423
426579,5188 14,0333
436515,8322 13,8239
446683,5922 13,6141
457088,1896 13,4039
467735,1413 13,1932
478630,0923 12,982
489778,8194 12,7703
501187,2336 12,5581
512861,384 12,3454
524807,4602 12,1321
537031,7964 11,9182
549540,8739 11,7037
562341,3252 11,4886
575439,9373 11,2728
588843,6554 11,0563
602559,5861 10,8392
616595,0019 10,6213
630957,3445 10,4026
645654,229 10,1831
660693,448 9,96285
676082,9754 9,74171
691830,9709 9,51968
707945,7844 9,29673
724435,9601 9,07284
741310,2413 8,84795
758577,575 8,62204
776247,1166 8,39508
794328,2347 8,16703
812830,5162 7,93784
831763,7711 7,70749
851138,0382 7,47594
870963,59 7,24314
891250,9381 7,00906
912010,8394 6,77365
933254,3008 6,53689
954992,586 6,29872
977237,221 6,05912
1000000 5,81802
1023292,992 5,57541
1047128,548 5,33123
1071519,305 5,08544
1096478,196 4,83801
1122018,454 4,58889
1148153,621 4,33805
1174897,555 4,08543
1202264,435 3,83102
1230268,771 3,57476
1258925,412 3,31662
1288249,552 3,05657
1318256,739 2,79456
1348962,883 2,53056
1380384,265 2,26454
1412537,545 1,99647
1445439,771 1,72632
1479108,388 1,45406
1513561,248 1,17966
1548816,619 0,903093
1584893,192 0,624339
1621810,097 0,343377
1659586,907 0,0601868
1698243,652 -0,225249
1737800,829 -0,512946
1778279,41 -0,802917
1819700,859 -1,09517
1862087,137 -1,38972
1905460,718 -1,68656
1949844,6 -1,98571
1995262,315 -2,28716
2041737,945 -2,59091
2089296,131 -2,89696
2137962,09 -3,2053
2187761,624 -3,51591
2238721,139 -3,8288
2290867,653 -4,14395
2344228,815 -4,46134
2398832,919 -4,78095
2454708,916 -5,10277
2511886,432 -5,42676
2570395,783 -5,75292
2630267,992 -6,0812
2691534,804 -6,41159
2754228,703 -6,74406
2818382,931 -7,07857
2884031,503 -7,41509
2951209,227 -7,75359
3019951,72 -8,09403
3090295,433 -8,43639
3162277,66 -8,78061
3235936,569 -9,12666
3311311,215 -9,47451
3388441,561 -9,82412
3467368,505 -10,1754
3548133,892 -10,5284
3630780,548 -10,8831
3715352,291 -11,2393
3801893,963 -11,5971
3890451,45 -11,9564
3981071,706 -12,3171
4073802,778 -12,6793
4168693,835 -13,0429
4265795,188 -13,4079
4365158,322 -13,7741
4466835,922 -14,1417
4570881,896 -14,5104
4677351,413 -14,8804
4786300,923 -15,2515
4897788,194 -15,6237
5011872,336 -15,997
5128613,84 -16,3714
5248074,602 -16,7468
5370317,964 -17,1231
5495408,739 -17,5004
5623413,252 -17,8786
5754399,373 -18,2577
5888436,554 -18,6376
6025595,861 -19,0184
6165950,019 -19,3999
6309573,445 -19,7822
6456542,29 -20,1652
6606934,48 -20,5489
6760829,754 -20,9333
6918309,709 -21,3184
7079457,844 -21,7041
7244359,601 -22,0903
7413102,413 -22,4772
7585775,75 -22,8646
7762471,166 -23,2525
7943282,347 -23,641
8128305,162 -24,0299
8317637,711 -24,4193
8511380,382 -24,8092
8709635,9 -25,1995
8912509,381 -25,5902
9120108,394 -25,9813
9332543,008 -26,3728
9549925,86 -26,7647
9772372,21 -27,1569
10000000 -27,5494
10232929,92 -27,9423
10471285,48 -28,3355
10715193,05 -28,729
10964781,96 -29,1228
11220184,54 -29,5168
11481536,21 -29,9111
11748975,55 -30,3056
12022644,35 -30,7004
12302687,71 -31,0954
12589254,12 -31,4907
12882495,52 -31,8861
13182567,39 -32,2818
13489628,83 -32,6776
13803842,65 -33,0736
14125375,45 -33,4698
14454397,71 -33,8662
14791083,88 -34,2627
15135612,48 -34,6594
15488166,19 -35,0562
15848931,92 -35,4532
16218100,97 -35,8503
16595869,07 -36,2475
16982436,52 -36,6449
17378008,29 -37,0423
17782794,1 -37,4399
18197008,59 -37,8376
18620871,37 -38,2354
19054607,18 -38,6333
19498446 -39,0313
19952623,15 -39,4294
20417379,45 -39,8275
20892961,31 -40,2258
21379620,9 -40,6241
21877616,24 -41,0225
22387211,39 -41,421
22908676,53 -41,8195
23442288,15 -42,2181
23988329,19 -42,6168
24547089,16 -43,0155
25118864,32 -43,4143
25703957,83 -43,8131
26302679,92 -44,212
26915348,04 -44,6109
27542287,03 -45,0099
28183829,31 -45,4089
28840315,03 -45,808
29512092,27 -46,2071
30199517,2 -46,6063
30902954,33 -47,0055
31622776,6 -47,4047
32359365,69 -47,804
33113112,15 -48,2033
33884415,61 -48,6026
34673685,05 -49,002
35481338,92 -49,4014
36307805,48 -49,8008
37153522,91 -50,2002
38018939,63 -50,5997
38904514,5 -50,9992
39810717,06 -51,3987
40738027,78 -51,7982
41686938,35 -52,1978
42657951,88 -52,5973
43651583,22 -52,9969
44668359,22 -53,3965
45708818,96 -53,7962
46773514,13 -54,1958
47863009,23 -54,5955
48977881,94 -54,9952
50118723,36 -55,3949
51286138,4 -55,7946
52480746,02 -56,1943
53703179,64 -56,594
54954087,39 -56,9938
56234132,52 -57,3935
57543993,73 -57,7933
58884365,54 -58,1931
60255958,61 -58,5928
61659500,19 -58,9926
63095734,45 -59,3924
64565422,9 -59,7923
66069344,8 -60,1921
67608297,54 -60,5919
69183097,09 -60,9917
70794578,44 -61,3916
72443596,01 -61,7914
74131024,13 -62,1913
75857757,5 -62,5912
77624711,66 -62,991
79432823,47 -63,3909
81283051,62 -63,7908
83176377,11 -64,1907
85113803,82 -64,5906
87096359 -64,9905
89125093,81 -65,3904
91201083,94 -65,7903
93325430,08 -66,1902
95499258,6 -66,5901
97723722,1 -66,99
100000000 -67,3899
102329299,2 -67,7899
104712854,8 -68,1898
107151930,5 -68,5897
109647819,6 -68,9897
112201845,4 -69,3896
114815362,1 -69,7895
117489755,5 -70,1895
120226443,5 -70,5894
123026877,1 -70,9894
125892541,2 -71,3893
128824955,2 -71,7893
131825673,9 -72,1892
134896288,3 -72,5892
138038426,5 -72,9891
141253754,5 -73,3891
144543977,1 -73,789
147910838,8 -74,189
151356124,8 -74,589
154881661,9 -74,9889
158489319,2 -75,3889
162181009,7 -75,7889
165958690,7 -76,1888
169824365,2 -76,5888
173780082,9 -76,9888
177827941 -77,3887
181970085,9 -77,7887
186208713,7 -78,1887
190546071,8 -78,5887
194984460 -78,9886
199526231,5 -79,3886
204173794,5 -79,7886
208929613,1 -80,1886
213796209 -80,5885
218776162,4 -80,9885
223872113,9 -81,3885
229086765,3 -81,7885
234422881,5 -82,1884
239883291,9 -82,5884
245470891,6 -82,9884
251188643,2 -83,3884
257039578,3 -83,7883
263026799,2 -84,1883
269153480,4 -84,5883
275422870,3 -84,9883
281838293,1 -85,3883
288403150,3 -85,7882
295120922,7 -86,1882
301995172 -86,5882
309029543,3 -86,9882
316227766 -87,3881
323593656,9 -87,7881
331131121,5 -88,1881
338844156,1 -88,5881
346736850,5 -88,988
354813389,2 -89,388
363078054,8 -89,788
371535229,1 -90,188
380189396,3 -90,5879
389045145 -90,9879
398107170,6 -91,3879
407380277,8 -91,7878
416869383,5 -92,1878
426579518,8 -92,5878
436515832,2 -92,9877
446683592,2 -93,3877
457088189,6 -93,7877
467735141,3 -94,1876
478630092,3 -94,5876
489778819,4 -94,9875
501187233,6 -95,3875
512861384 -95,7875
524807460,2 -96,1874
537031796,4 -96,5874
549540873,9 -96,9873
562341325,2 -97,3873
575439937,3 -97,7872
588843655,4 -98,1871
602559586,1 -98,5871
616595001,9 -98,987
630957344,5 -99,387
645654229 -99,7869
660693448 -100,187
676082975,4 -100,587
691830970,9 -100,987
707945784,4 -101,387
724435960,1 -101,786
741310241,3 -102,186
758577575 -102,586
776247116,6 -102,986
794328234,7 -103,386
812830516,2 -103,786
831763771,1 -104,186
851138038,2 -104,586
870963590 -104,986
891250938,1 -105,386
912010839,4 -105,785
933254300,8 -106,185
954992586 -106,585
977237221 -106,985
1000000000 -107,385
